Name,lines_added,lines_deleted,comments_added,comments_deleted,commits,bug_fixes,avg_time_between_changes,dev_expertise_avg,dev_expertise_min,developer_count,commits_global,avg_time_between_changes_global,developer_count_global
.arcconfig,0,0,0,0,0,0,0,0,0,0,5,5.5,1
.checkstyle,0,0,0,0,0,0,0,0,0,0,4,268.3333333333333,3
.gitattributes,0,0,0,0,0,0,0,0,0,0,4,165.33333333333334,2
.gitignore,1,0,0,0,1,0,0,50.0,50,1,16,162.86666666666667,11
.reviewboardrc,1,1,0,0,1,0,0,26.0,26,1,4,384.6666666666667,4
.travis.yml,38,0,22,0,1,0,0,25.0,25,1,1,0,1
LICENSE,45,235,0,0,2,0,9.0,257.0,49,2,11,220.4,9
NOTICE,2,10,0,0,3,0,90.0,88.0,49,2,14,171.76923076923077,11
README.md,9,7,1,0,1,0,0,25.0,25,1,0,0,0
RELEASE_NOTES.txt,665,6415,3,44,5,0,101.5,76.0,26,3,30,84.79310344827586,14
accumulo-handler/pom.xml,3,3,0,0,3,0,168.5,76.5,26,2,17,61.375,11
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloConnectionParameters.java,0,0,0,0,0,0,0,0,0,0,2,294.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloHiveConstants.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloHiveRow.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloStorageHandler.java,2,2,0,0,1,0,0,465.0,465,1,4,272.6666666666667,4
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/HiveAccumuloHelper.java,0,0,0,0,0,0,0,0,0,0,2,91.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloMap.java,0,0,0,0,0,0,0,0,0,0,2,121.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloRow.java,0,0,0,0,0,0,0,0,0,0,4,145.0,4
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/Utils.java,0,0,0,0,0,0,0,0,0,0,3,217.5,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnEncoding.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapper.java,0,0,0,0,0,0,0,0,0,0,3,217.5,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapping.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMappingFactory.java,0,0,0,0,0,0,0,0,0,0,2,435.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloColumnMapping.java,0,0,0,0,0,0,0,0,0,0,2,435.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloMapColumnMapping.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloRowIdColumnMapping.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveColumn.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/InvalidColumnMappingException.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloRecordReader.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloSplit.java,0,0,0,0,0,0,0,0,0,0,2,435.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloTableInputFormat.java,0,0,0,0,0,0,0,0,0,0,3,147.0,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloTableOutputFormat.java,0,0,0,0,0,0,0,0,0,0,4,128.33333333333334,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/package-info.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/AccumuloPredicateHandler.java,2,2,0,0,1,0,0,127.0,127,1,5,162.75,5
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/AccumuloRangeGenerator.java,0,0,0,0,0,0,0,0,0,0,2,11.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/NoSuchCompareOpException.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/NoSuchPrimitiveComparisonException.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/PrimitiveComparisonFilter.java,0,0,0,0,0,0,0,0,0,0,4,145.0,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/PushdownTuple.java,1,1,0,0,1,0,0,127.0,127,1,3,325.5,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/CompareOp.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/DoubleCompare.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/Equal.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/GreaterThan.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/GreaterThanOrEqual.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/IntCompare.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/LessThan.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/LessThanOrEqual.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/Like.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/LongCompare.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/NotEqual.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/PrimitiveComparison.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/StringCompare.java,0,0,0,0,0,0,0,0,0,0,3,217.5,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/package-info.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/package-info.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloCompositeRowId.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloRowIdFactory.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloRowSerializer.java,0,0,0,0,0,0,0,0,0,0,4,145.0,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloSerDe.java,2,2,0,0,1,0,0,465.0,465,1,4,272.6666666666667,4
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloSerDeParameters.java,0,0,0,0,0,0,0,0,0,0,4,145.0,3
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/CompositeAccumuloRowIdFactory.java,0,0,0,0,0,0,0,0,0,0,2,435.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/DefaultAccumuloRowIdFactory.java,0,0,0,0,0,0,0,0,0,0,2,177.0,2
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/TooManyAccumuloColumnsException.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/TooManyHiveColumnsException.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloConnectionParameters.java,0,0,0,0,0,0,0,0,0,0,2,294.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloHiveRow.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloStorageHandler.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestHiveAccumuloHelper.java,0,0,0,0,0,0,0,0,0,0,2,91.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestLazyAccumuloMap.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestLazyAccumuloRow.java,0,0,0,0,0,0,0,0,0,0,2,177.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestColumnEncoding.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestColumnMapper.java,0,0,0,0,0,0,0,0,0,0,2,50.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestColumnMappingFactory.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestHiveAccumuloColumnMapping.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/columns/TestHiveRowIdColumnMapping.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTableInputFormat.java,0,0,0,0,0,0,0,0,0,0,3,147.0,3
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTableOutputFormat.java,0,0,0,0,0,0,0,0,0,0,4,128.33333333333334,4
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/mr/TestHiveAccumuloTypes.java,1,1,0,0,1,1,0,0.0,0,1,2,617.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestAccumuloPredicateHandler.java,0,0,0,0,0,0,0,0,0,0,4,158.66666666666666,4
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestAccumuloRangeGenerator.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestPrimitiveComparisonFilter.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestDoubleCompare.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestIntCompare.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestLongComparison.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestStringCompare.java,0,0,0,0,0,0,0,0,0,0,2,82.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/DelimitedAccumuloRowIdFactory.java,0,0,0,0,0,0,0,0,0,0,2,435.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/FirstCharAccumuloCompositeRowId.java,0,0,0,0,0,0,0,0,0,0,4,145.0,4
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestAccumuloRowSerializer.java,0,0,0,0,0,0,0,0,0,0,2,177.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestAccumuloSerDe.java,0,0,0,0,0,0,0,0,0,0,4,145.0,4
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestAccumuloSerDeParameters.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestDefaultAccumuloRowIdFactory.java,0,0,0,0,0,0,0,0,0,0,2,177.0,2
accumulo-handler/src/test/queries/positive/accumulo_custom_key.q,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/queries/positive/accumulo_custom_key2.q,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/queries/positive/accumulo_joins.q,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/queries/positive/accumulo_predicate_pushdown.q,0,0,0,0,0,0,0,0,0,0,1,0,1
